player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,rush_tds,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,curr_site_pts,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Grant Calcaterra,TE,PHI,NA,1.05,0.75,7.7,NA,NA,0.04,NA,1.39,NA,55414,FanDuel,15804,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,51,247,4,24,Philadelphia Eagles,24,Philadelphia Eagles,PHI,10,Denver Broncos,DEN,WEEKLY
Jackson Hawes,TE,BUF,NA,0.98,0.67,6.86,NA,NA,0.06,NA,1.38,NA,56419,FanDuel,17213,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,52,248,18,4,Buffalo Bills,4,Buffalo Bills,BUF,19,New England Patriots,NE,WEEKLY
Josh Oliver,TE,MIN,NA,1.2,0.8,6.57,NA,NA,0.05,NA,1.34,NA,54399,FanDuel,14209,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,53,251,7,18,Minnesota Vikings,8,Cleveland Browns,CLE,18,Minnesota Vikings,MIN,WEEKLY
Tip Reiman,TE,ARI,NA,0.79,0.58,5.06,NA,NA,0.04,NA,1.04,NA,56097,FanDuel,16706,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,54,261,29,1,Arizona Cardinals,1,Arizona Cardinals,ARI,31,Tennessee Titans,TEN,WEEKLY
Adam Trautman,TE,DEN,NA,0.75,0.52,5.18,NA,NA,0.03,NA,0.96,NA,54566,FanDuel,14870,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,55,263,12,10,Denver Broncos,24,Philadelphia Eagles,PHI,10,Denver Broncos,DEN,WEEKLY
Cam Grandy,TE,CIN,NA,0.81,0.59,4.92,NA,NA,0.03,NA,0.95,NA,56187,FanDuel,16979,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,56,264,10,7,Cincinnati Bengals,7,Cincinnati Bengals,CIN,11,Detroit Lions,DET,WEEKLY
Ben Sinnott,TE,WSH,NA,0.63,0.47,4.52,NA,NA,0.03,NA,0.87,NA,55926,FanDuel,16644,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,57,269,3,32,Washington Commanders,34,Los Angeles Chargers,LAC,32,Washington Commanders,WSH,WEEKLY
Elijah Higgins,TE,ARI,NA,0.64,0.46,4.34,NA,NA,0.03,NA,0.84,NA,55823,FanDuel,16333,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,58,272,29,1,Arizona Cardinals,1,Arizona Cardinals,ARI,31,Tennessee Titans,TEN,WEEKLY
Mo Alie-Cox,TE,IND,NA,0.63,0.41,4.23,NA,NA,0.03,NA,0.81,NA,53973,FanDuel,13246,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,59,273,16,14,Indianapolis Colts,14,Indianapolis Colts,IND,35,Las Vegas Raiders,LV,WEEKLY
James Mitchell,TE,CAR,NA,0.64,0.42,4.04,NA,NA,0.03,NA,0.79,NA,55496,FanDuel,15909,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,60,274,31,5,Carolina Panthers,5,Carolina Panthers,CAR,17,Miami Dolphins,MIA,WEEKLY
Jack Stoll,TE,NO,NA,0.62,0.42,3.26,NA,NA,0.03,NA,0.72,NA,54984,FanDuel,15541,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,61,278,28,20,New Orleans Saints,20,New Orleans Saints,NO,21,New York Giants,NYG,WEEKLY
