player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Justin Tucker,K,BAL,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,10.59,NA,8663,FleaFlicker,10976,@NOMon 8:15 PM,NA,0,K1,2/2,2/2,98%,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,10.44,NA,13977,FleaFlicker,13832,@CHISun 1:00 PM,NA,1,K12,2/2,2/2,58%,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,10.34,NA,11124,FleaFlicker,12437,@ARISun 4:05 PM,NA,1,K17,2/2,2/2,65%,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,10.27,NA,14337,FleaFlicker,13898,@WASSun 1:00 PM,NA,7,K15,2/2,2/2,27%,NA,NA,NA,NA,NA,NA,NA
OUTDustin Hopkins,K,LAC,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,10.25,NA,9416,FleaFlicker,11387,@ATLSun 1:00 PM,NA,8,K23,2/1,2/2,13%,NA,NA,NA,NA,NA,NA,NA
Ryan Succop,K,TB,NA,2,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,10.13,NA,6293,FleaFlicker,9686,LARSun 4:25 PM,NA,1,K6,2/2,2/2,91%,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,10.11,NA,10888,FleaFlicker,11945,MIASun 1:00 PM,NA,4,NA,2/2,2/2,9%,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,10.03,NA,13124,FleaFlicker,13354,TENSun 8:20 PM,NA,8,K5,2/2,3/3,68%,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,9.74,NA,15366,FleaFlicker,14600,MINSun 1:00 PM,NA,4,NA,2/1,1/1,5%,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,9.73,NA,13324,FleaFlicker,13403,LACSun 1:00 PM,NA,4,K14,2/2,2/2,77%,NA,NA,NA,NA,NA,NA,NA
